case_id	item_id	title	forecast_gap_pct	board_deadline_hours	cross_team_dependency	exec_visibility	revenue_impact	reviewer_rank	reviewer_rationale
2018-08_construction_tools_house_garden	1a932caad4f9d804097d7f8e615baed1_2018-08	construction_tools_house_garden seller 1a932caa 2018-08 revenue 1289.00 origin unknown state SP	10	720	3	1	5		
2018-08_construction_tools_house_garden	6b90f847357d8981edd79a1eb1bf0acb_2018-08	construction_tools_house_garden seller 6b90f847 2018-08 revenue 967.58 origin organic_search state SP	10	701	3	1	5		
2018-08_construction_tools_house_garden	cfe94489ddd337d1e29e12f2a7205d10_2018-08	construction_tools_house_garden seller cfe94489 2018-08 revenue 495.00 origin unknown state SP	9	720	3	0	4		
2018-07_audio_video_electronics	db2956745b3a8e9f3785c99f34b5d25e_2018-07	audio_video_electronics seller db295674 2018-07 revenue 2059.00 origin unknown state SP	10	677	4	1	5		
2018-07_audio_video_electronics	0873d9f8f36123f8d910f4760e788cfb_2018-07	audio_video_electronics seller 0873d9f8 2018-07 revenue 2469.83 origin unknown state SP	10	300	3	1	5		
2018-07_audio_video_electronics	ade45994b717ccee333492330fbf037b_2018-07	audio_video_electronics seller ade45994 2018-07 revenue 1710.00 origin social state PR	10	720	2	1	5		
2018-07_audio_video_electronics	34f563c82a85b99ae9e6d60db5fc2e28_2018-07	audio_video_electronics seller 34f563c8 2018-07 revenue 1178.90 origin organic_search state RS	10	653	2	1	5		
2018-07_construction_tools_house_garden	120476eb7a04c149d14772edaf5d9bf2_2018-07	construction_tools_house_garden seller 120476eb 2018-07 revenue 2228.90 origin paid_search state RJ	10	423	3	1	5		
2018-07_construction_tools_house_garden	c611f4ce9ce875bcc063fa97fd4d7d12_2018-07	construction_tools_house_garden seller c611f4ce 2018-07 revenue 319.00 origin unknown state SP	6	12	3	1	4		
2018-07_construction_tools_house_garden	6b90f847357d8981edd79a1eb1bf0acb_2018-07	construction_tools_house_garden seller 6b90f847 2018-07 revenue 1264.30 origin organic_search state SP	10	720	2	1	5		
2018-07_construction_tools_house_garden	7238a95bb63ef7e498389fb863b834a1_2018-07	construction_tools_house_garden seller 7238a95b 2018-07 revenue 780.80 origin paid_search state SP	9	720	2	1	5		
